0,5,7
1,11,13
2,17,19
3,23,31
4,29,37
5,41,43
6,47,61
7,53,67
8,59,73
9,71,79
10,83,97
11,89,103
12,101,109
13,107,127
14,113,139
15,131,151
16,137,157
17,149,163
18,167,181
19,173,193
20,179,199
21,191,211
22,197,223
23,227,229
24,233,241
25,239,271
26,251,277
27,257,283
28,263,307
29,269,313
30,281,331
31,293,337
32,311,349
33,317,367
34,347,373
35,353,379
36,359,397
37,383,409
38,389,421
39,401,433
40,419,439
41,431,457
42,443,463
43,449,487
44,461,499
45,467,523
46,479,541
47,491,547
48,503,571
49,509,577
50,521,601
51,557,607
52,563,613
53,569,619
54,587,631
55,593,643
56,599,661
57,617,673
58,641,691
59,647,709
60,653,727
61,659,733
62,677,739
63,683,751
64,701,757
65,719,769
66,743,787
67,761,811
68,773,823
69,797,829
70,809,853
71,821,859
72,827,877
73,839,883
74,857,907
75,863,919
76,881,937
77,887,967
78,911,991
79,929,997
80,941,1009
81,947,1021
82,953,1033
83,971,1039
84,977,1051
85,983,1063
86,1013,1069
87,1019,1087
88,1031,1093
89,1049,1117
90,1061,1123
91,1091,1129
92,1097,1153
93,1103,1171
94,1109,1201
95,1151,1213
96,1163,1231
97,1181,1237
98,1187,1249
99,1193,1279
100,1217,1291
101,1223,1297
102,1229,1303
103,1259,1321
104,1277,1327
105,1283,1381
106,1289,1399
107,1301,1423
108,1307,1429
109,1319,1447
110,1361,1453
111,1367,1459
112,1373,1471
113,1409,1483
114,1427,1489
115,1433,1531
116,1439,1543
117,1451,1549
118,1481,1567
119,1487,1579
120,1493,1597
121,1499,1609
122,1511,1621
123,1523,1627
124,1553,1657
125,1559,1663
126,1571,1669
127,1583,1693
128,1601,1699
129,1607,1723
130,1613,1741
131,1619,1747
132,1637,1753
133,1667,1759
134,1697,1777
135,1709,1783
136,1721,1789
137,1733,1801
138,1787,1831
139,1811,1861
140,1823,1867
141,1847,1873
142,1871,1879
143,1877,1933
144,1889,1951
145,1901,1987
146,1907,1993
147,1913,1999
148,1931,2011
149,1949,2017
150,1973,2029
151,1979,2053
152,1997,2083
153,2003,2089
154,2027,2113
155,2039,2131
156,2063,2137
157,2069,2143
